"","Code","Name","IPO_Date","Forty4","Days","FirstHslRe","PE","APS","Rate","Stage1","Stage2","Stage3","Stage4","Sector1","Sector2","Prediction","Corret","Error"
"195","603858.SH","步长制药",2016-11-18,TRUE,7,19.8871730582937,22.99,16.76,0.0546,0,0,0,0,1,0,9.65531525743526,TRUE,2.65531525743526
"196","002820.SZ","桂发祥",2016-11-18,TRUE,11,21.1920529801325,22.99,7.31,0.0268,0,0,0,0,0,0,12.1982794758669,TRUE,1.19827947586688
"197","002821.SZ","凯莱英",2016-11-18,TRUE,13,27.2184523809526,22.95,15.39,0.0212,0,0,0,0,0,0,10.802366170026,FALSE,-2.19763382997399
"198","603633.SH","徕木股份",2016-11-17,TRUE,18,29.0668469860899,22.98,5.33,0.0313,0,0,0,0,1,0,14.1055516212114,FALSE,-3.89444837878864
"199","300561.SZ","汇金科技",2016-11-17,TRUE,15,38.8888888888885,22.99,10.18,0.0142,0,0,0,0,0,1,13.002419258279,TRUE,-1.99758074172102
"200","601229.SH","上海银行",2016-11-16,TRUE,2,11.8022482157563,8.26,17.74,0.2301,0,0,0,0,1,0,7.58905180706338,FALSE,5.58905180706338
"201","300562.SZ","乐心医疗",2016-11-16,TRUE,18,31.4893617021274,22.99,7.82,0.0142,0,0,0,0,0,1,13.2218985749759,FALSE,-4.7781014250241
"202","300566.SZ","激智科技",2016-11-15,TRUE,14,34.3103448275863,22.98,6.39,0.0166,0,0,0,0,0,1,14.1382985568736,FALSE,0.138298556873622
"203","300563.SZ","神宇股份",2016-11-14,TRUE,20,35.7142857142857,22.99,4.85,0.0165,0,0,0,0,0,1,15.2587616777807,FALSE,-4.74123832221929
"204","603977.SH","国泰集团",2016-11-11,TRUE,16,61.2249418540275,14.81,4.26,0.0447,0,0,0,0,1,0,17.4700860055738,TRUE,1.47008600557378
"205","002819.SZ","东方中科",2016-11-11,TRUE,21,30.8043478260865,22.95,3.57,0.0272,0,0,0,0,0,0,15.7971684077352,FALSE,-5.20283159226484
"206","603556.SH","海兴电力",2016-11-10,TRUE,7,30.4019282131462,21.32,10.4,0.0579,0,0,0,0,1,0,11.9083408441685,FALSE,4.90834084416847
"207","603060.SH","国检集团",2016-11-09,TRUE,14,34.3750000000001,22.97,3.89,0.0432,0,0,0,0,1,0,15.6994169994072,FALSE,1.69941699940718
"208","002818.SZ","富森美",2016-11-09,TRUE,11,25.8443465491922,22.99,8.05,0.0378,0,0,0,0,0,0,12.3742338304754,TRUE,1.37423383047542
"209","603203.SH","快克股份",2016-11-08,TRUE,15,28.3915565979507,21.04,6.6,0.03,0,0,0,0,1,0,13.330096897649,FALSE,-1.66990310235099
"210","601882.SH","海天精工",2016-11-07,TRUE,29,37.1847841572879,22.98,1.98,0.0496,0,0,0,0,1,0,18.7619168442366,FALSE,-10.2380831557634
"211","300558.SZ","贝达药业",2016-11-07,TRUE,15,86.0621326616285,22.99,2.75,0.0415,0,0,0,0,0,1,21.0259723272658,FALSE,6.02597232726579
"212","300556.SZ","丝路视觉",2016-11-04,TRUE,26,52.3441913010721,22.99,3.45,0.03,0,0,0,0,0,1,17.9171925566867,FALSE,-8.08280744331327
"213","300557.SZ","理工光科",2016-11-01,TRUE,19,34.6620450606586,22.99,7.58,0.0147,0,0,0,0,0,1,13.6094613225312,FALSE,-5.39053867746877
"214","300559.SZ","佳发安泰",2016-11-01,TRUE,14,45.0000000000004,22.99,7.25,0.0161,0,0,0,0,0,1,14.5776809409064,FALSE,0.577680940906367
"215","300560.SZ","中富通",2016-11-01,TRUE,19,27.3906250000002,22.99,5.88,0.0159,0,0,0,0,0,1,13.7203849278504,FALSE,-5.27961507214956
"216","603716.SH","塞力斯",2016-10-31,TRUE,14,20.8852459016392,22.98,15.4,0.0156,0,0,0,0,1,0,10.2111603940076,FALSE,-3.78883960599242
"217","603888.SH","新华网",2016-10-28,TRUE,13,26.3895342688633,22.99,12.14,0.0429,0,0,0,0,1,0,11.2127410299009,FALSE,-1.78725897009915
"218","600926.SH","杭州银行",2016-10-27,TRUE,4,6.89076913356661,10.23,14.32,0.128,0,0,0,0,1,0,7.54928165162115,FALSE,3.54928165162115
"219","603258.SH","电魂网络",2016-10-26,TRUE,15,18.5093780848962,18.16,5.96,0.0454,0,0,0,0,1,0,12.2921417651131,FALSE,-2.70785823488694
"220","603667.SH","五洲新春",2016-10-25,TRUE,15,26.7724867724871,22.96,5.23,0.0423,0,0,0,0,1,0,13.8157613451915,FALSE,-1.18423865480854
"221","002816.SZ","和科达",2016-10-25,TRUE,17,26.8039026482256,22.98,4.93,0.0257,0,0,0,0,0,0,14.1656782915486,FALSE,-2.83432170845137
"222","002817.SZ","黄山胶囊",2016-10-25,TRUE,15,17.7056949097149,22.98,7.03,0.0247,0,0,0,0,0,0,11.842079308781,FALSE,-3.15792069121904
"223","603859.SH","能科股份",2016-10-21,TRUE,18,27.5230247212797,22.97,5.36,0.0332,0,0,0,0,1,0,13.8977982758811,FALSE,-4.10220172411888
"224","300552.SZ","万集科技",2016-10-21,TRUE,17,27.7748881722668,20.91,6.3,0.03,0,0,0,0,0,1,13.4155420805815,FALSE,-3.58445791941845
"225","300553.SZ","集智股份",2016-10-21,TRUE,19,37.2323921811981,22.99,6.21,0.0137,0,0,0,0,0,1,14.5276812457186,FALSE,-4.47231875428143
"226","300550.SZ","和仁科技",2016-10-18,TRUE,19,30.3030303030303,22.99,5.54,0.0174,0,0,0,0,0,1,14.2278728134957,FALSE,-4.77212718650432
"227","300551.SZ","古鳌科技",2016-10-18,TRUE,19,34.6415094339625,22.88,6.49,0.0168,0,0,0,0,0,1,14.1136444596359,FALSE,-4.8863555403641
"228","300555.SZ","路通视信",2016-10-18,TRUE,15,23.5294117647059,22.99,7.16,0.0172,0,0,0,0,0,1,12.6276296433923,TRUE,-2.3723703566077
"229","603160.SH","汇顶科技",2016-10-17,TRUE,20,31.0344827586209,22.99,4.37,0.0485,0,0,0,0,1,0,14.8642520851874,FALSE,-5.1357479148126
"230","603816.SH","顾家家居",2016-10-14,TRUE,5,13.6129628407366,22.99,7.57,0.0647,0,0,0,0,1,0,10.6920537146313,FALSE,5.69205371463135
"231","603313.SH","梦百合",2016-10-13,TRUE,7,19.7271083347031,22.66,6.44,0.0461,0,0,0,0,1,0,12.2312826910244,FALSE,5.23128269102437
"232","603777.SH","来伊份",2016-10-12,TRUE,14,16.8600893584735,22.99,7.53,0.046,0,0,0,0,1,0,11.3658734211972,FALSE,-2.63412657880279
"233","002813.SZ","路畅科技",2016-10-12,TRUE,22,28.4225485551874,22.97,5.39,0.0277,0,0,0,0,0,0,14.0278101042299,FALSE,-7.9721898957701
"234","002815.SZ","崇达技术",2016-10-12,TRUE,8,24.9887550602229,22.98,4.43,0.0401,0,0,0,0,0,0,14.1838487686259,FALSE,6.18384876862592
