"","Code","Name","IPO_Date","Forty4","Days","FirstHslRe","PE","APS","Rate"
"224","300552.SZ","万集科技","2016-10-21",TRUE,17,27.7748881722668,20.91,6.3,0.03
"225","300553.SZ","集智股份","2016-10-21",TRUE,19,37.2323921811981,22.99,6.21,0.0137
"226","300550.SZ","和仁科技","2016-10-18",TRUE,19,30.3030303030303,22.99,5.54,0.0174
"227","300551.SZ","古鳌科技","2016-10-18",TRUE,19,34.6415094339625,22.88,6.49,0.0168
"228","300555.SZ","路通视信","2016-10-18",TRUE,15,23.5294117647059,22.99,7.16,0.0172
"229","603160.SH","汇顶科技","2016-10-17",TRUE,20,31.0344827586209,22.99,4.37,0.0485
"230","603816.SH","顾家家居","2016-10-14",TRUE,5,13.6129628407366,22.99,7.57,0.0647
"231","603313.SH","梦百合","2016-10-13",TRUE,7,19.7271083347031,22.66,6.44,0.0461
"232","603777.SH","来伊份","2016-10-12",TRUE,14,16.8600893584735,22.99,7.53,0.046
"233","002813.SZ","路畅科技","2016-10-12",TRUE,22,28.4225485551874,22.97,5.39,0.0277
"234","002815.SZ","崇达技术","2016-10-12",TRUE,8,24.9887550602229,22.98,4.43,0.0401
"235","300548.SZ","博创科技","2016-10-12",TRUE,19,31.0873815611366,22.97,6.01,0.0283
"236","603421.SH","鼎信通讯","2016-10-11",TRUE,9,23.2520760782214,22.99,3.94,0.0458
"237","603887.SH","城地股份","2016-10-10",TRUE,16,27.5290957923004,22.97,6.8,0.0331
"238","601128.SH","常熟银行","2016-09-30",TRUE,7,20.1208300066081,9.89,4.26,0.1152
"239","300547.SZ","川环科技","2016-09-30",TRUE,13,26.6298539365871,22.99,9.81,0.0154
"240","300549.SZ","优德精密","2016-09-30",TRUE,16,72.4782608695632,22.99,6.07,0.016
"241","603738.SH","泰晶科技","2016-09-28",TRUE,14,29.7857142857139,22.99,7.53,0.0186
"242","300545.SZ","联得装备","2016-09-28",TRUE,18,43.4878048780485,22.98,6.17,0.0174
"243","300546.SZ","雄帝科技","2016-09-28",TRUE,18,36.054054054054,22.99,9.65,0.0148
"244","600908.SH","无锡银行","2016-09-23",TRUE,8,26.7780633476292,9.91,4.45,0.1021
"245","300536.SZ","农尚环境","2016-09-20",TRUE,15,142.365969418961,18.12,4.7,0.0296
"246","300542.SZ","新晨科技","2016-09-20",TRUE,19,45.0909818036387,22.98,5.92,0.0297
"247","601500.SH","通用股份","2016-09-19",TRUE,9,27.4654301505804,22.98,3.3,0.0974
"248","603189.SH","网达软件","2016-09-14",TRUE,16,28.3076923076921,22.97,3.31,0.045
"249","002812.SZ","创新股份","2016-09-14",TRUE,8,27.1951912923398,22.99,11.07,0.0305
"250","603067.SH","振华股份","2016-09-13",TRUE,12,28.7596737084293,22.98,4.61,0.0448
"251","300534.SZ","陇神戎发","2016-09-13",TRUE,12,28.2418871367132,22.99,7.55,0.0292
"252","300541.SZ","先进数通","2016-09-13",TRUE,16,36.6032210834553,22.98,5.63,0.0319
"253","603393.SH","新天然气","2016-09-12",TRUE,7,20.5023065094823,22.99,10.4,0.0393
"254","601163.SH","三角轮胎","2016-09-09",TRUE,5,19.6680040909449,22.98,8.97,0.1101
"255","002811.SZ","亚泰国际","2016-09-08",TRUE,10,29.998000133324,22.98,6.63,0.0339
"256","300543.SZ","朗科智能","2016-09-08",TRUE,13,42.8571428571435,22.46,8.91,0.0163
"257","603843.SH","正平股份","2016-09-05",TRUE,13,34.6180555555553,22.97,2.87,0.0735
