"","Days","FirstHslRe","APS","Rate","Stage1","Stage3","Stage4","Sector1","S48","Prediction","ActDays","Error","Code"
"127",2.89037175789616,2.46903330063171,1.27815220250019,0.5285,0,0,0,0,0,12.2220221282564,18,6,"300364.SZ"
"128",0,-2.06253620325211,2.1701959049483,2.0491,1,0,0,0,0,1.53263687251449,1,0,"300365.SZ"
"129",1.09861228866811,-0.873445695007653,1.66203036255327,1.0797,1,0,0,0,0,3.46795057247697,3,0,"300366.SZ"
"130",0.693147180559945,-1.06447030797207,2.2690283094652,2.2305,1,0,0,0,0,1.59254027025201,2,1,"300367.SZ"
"131",1.38629436111989,-2.28897561682225,2.02419306744936,1.2869,1,0,0,0,0,2.24386589408722,4,2,"300368.SZ"
"132",1.38629436111989,-0.537808640265332,2.14358936150359,2.0278,1,0,0,0,0,1.9852923076538,4,3,"300369.SZ"
"133",0.693147180559945,-2.15872159085952,1.9643112344262,2.1044,1,0,0,0,0,1.56528801124424,2,1,"300370.SZ"
"134",0,-1.22121578597342,2.04251818757524,2.4896,1,0,0,0,0,1.46774082405233,1,0,"300371.SZ"
"135",0.693147180559945,-2.92973519331628,1.9213246735827,1.4487,1,0,0,0,0,1.93453304240499,2,1,"300372.SZ"
"136",1.38629436111989,-2.44126117799385,1.92861865194525,1.3831,1,0,0,0,0,2.15243994102859,4,2,"300373.SZ"
"137",1.79175946922805,2.15184437590428,1.93152141160321,0.6674,0,1,0,0,0,11.6418249653664,6,5,"300374.SZ"
"138",0,-3.01711133824135,2.08567209143047,1.8911,1,0,0,0,0,1.46182319865264,1,0,"300375.SZ"
"139",1.38629436111989,-1.08495083715166,2.2512917986065,1.6172,1,0,0,0,0,2.15311666302316,4,2,"300376.SZ"
"140",0.693147180559945,-0.908302229888315,1.86097453824953,2.4214,1,0,0,0,0,1.68550107057205,2,1,"300377.SZ"
"141",0.693147180559945,-1.85705499543165,2.22678337957776,2.591,1,0,0,0,0,1.19419225964204,2,1,"300378.SZ"
"142",1.09861228866811,-1.08936449979401,1.65057985576528,1.0426,1,0,0,0,0,3.42524600471511,3,0,"300379.SZ"
